id,key,name,text,pages,Group,platform,load,created_at,updated_at
306,performance_efficiency_test.button.add_performance_efficiency_test,en,Add Performance Efficiency Test,performance_efficiency_test,button,any,f,,
307,performance_efficiency_test.button.edit_performance_efficiency_test,en,Edit Performance Efficiency Test,performance_efficiency_test,button,any,f,,
308,performance_efficiency_test.button.performance_efficiency_test_details,en,Performance Efficiency Test Details,performance_efficiency_test,button,any,f,,
309,performance_efficiency_test.label.temperature_c,en,Temperature °C,performance_efficiency_test,label,any,f,,
310,performance_efficiency_test.label.cod_mgl,en,COD (mg/l),performance_efficiency_test,label,any,f,,
311,performance_efficiency_test.label.bod_mgl,en,BOD (mg/l),performance_efficiency_test,label,any,f,,
312,performance_efficiency_test.label.tss_mgl,en,TSS (mg/l),performance_efficiency_test,label,any,f,,
313,performance_efficiency_test.label.ecoli,en,Ecoli,performance_efficiency_test,label,any,f,,
314,performance_efficiency_test.label.remark,en,Remark,performance_efficiency_test,label,any,f,,
315,low_income_community.validation.the_no_of_buildings_must_be_an_integer,en,The No. of Buildings must be an integer.,low_income_community,validation,any,f,,
316,low_income_community.validation.the_no_of_buildings_must_be_at_least_0,en,The No. of Buildings must be at least 0.,low_income_community,validation,any,f,,
317,low_income_community.validation.the_population_is_required,en,The Population is required.,low_income_community,validation,any,f,,
318,low_income_community.validation.the_population_must_be_an_integer,en,The Population must be an integer.,low_income_community,validation,any,f,,
319,low_income_community.validation.the_population_must_be_at_least_0,en,The Population must be at least 0.,low_income_community,validation,any,f,,
320,low_income_community.validation.the_no_of_households_is_required,en,The No. of Households is required.,low_income_community,validation,any,f,,
321,low_income_community.validation.the_no_of_households_must_be_an_integer,en,The No. of Households must be an integer.,low_income_community,validation,any,f,,
322,low_income_community.validation.the_no_of_households_must_be_at_least_0,en,The No. of Households must be at least 0.,low_income_community,validation,any,f,,
323,low_income_community.validation.the_male_population_must_be_an_integer,en,The Male Population must be an integer.,low_income_community,validation,any,f,,
324,low_income_community.validation.the_male_population_must_be_at_least_0,en,The Male Population must be at least 0.,low_income_community,validation,any,f,,
325,low_income_community.validation.the_female_population_must_be_an_integer,en,The Female Population must be an integer.,low_income_community,validation,any,f,,
326,low_income_community.validation.the_female_population_must_be_at_least_0,en,The Female Population must be at least 0.,low_income_community,validation,any,f,,
327,low_income_community.validation.the_other_population_must_be_an_integer,en,The Other Population must be an integer.,low_income_community,validation,any,f,,
328,low_income_community.validation.the_other_population_must_be_at_least_0,en,The Other Population must be at least 0.,low_income_community,validation,any,f,,
329,performance_efficiency_standard.heading.performance_efficiency_standards,en,Performance Efficiency Standards,performance_efficiency_standard,heading,any,f,,
330,performance_efficiency_standard.label.tss_standard_mgl,en,TSS Standard (mg/l),performance_efficiency_standard,label,any,f,,
331,performance_efficiency_standard.label.ecoli_standard,en,ECOLI Standard (CFU/100 mL),performance_efficiency_standard,label,any,f,,
332,performance_efficiency_standard.label.ph_minimum,en,pH Minimum,performance_efficiency_standard,label,any,f,,
333,performance_efficiency_standard.label.ph_maximum,en,pH Maximum,performance_efficiency_standard,label,any,f,,
334,performance_efficiency_standard.label.bod_standard_mgl,en,BOD Standard (mg/l),performance_efficiency_standard,label,any,f,,
335,application.heading.application,en,Application,application,heading,any,f,,
336,application.button.add_application,en,Add Application,application,button,any,f,,
337,application.label.house_number_bin,en,House Number / BIN,application,label,any,f,,
338,application.label.application_date,en,Application Date,application,label,any,f,,
339,application.label.proposed_emptying_date,en,Proposed Emptying Date,application,label,any,f,,
340,application.label.street_name_street_code,en,Street Name / Street Code,application,label,any,f,,
341,application.label.sludge_collection_status,en,Sludge Collection Status,application,label,any,f,,
342,application.label.feedback_status,en,Feedback Status,application,label,any,f,,
343,application.label.owner_contact_phone,en,Owner Contact (Phone),application,label,any,f,,
344,application.label.applicant_name,en,Applicant Name,application,label,any,f,,
345,application.label.applicant_gender,en,Applicant Gender,application,label,any,f,,
346,application.label.applicant_contact,en,Applicant Contact (Phone),application,label,any,f,,
347,application.label.emergency_desludging,en,Emergency Desludging,application,label,any,f,,
348,application.label.contact,en,Contact,application,label,any,f,,
349,application.button.view_emptying_service_details,en,View Emptying Service Details,application,button,any,f,,
350,application.button.add_sludge_collection_details,en,Add Sludge Collection Details,application,button,any,f,,
351,application.button.add_feedback_details,en,Add Feedback Details,application,button,any,f,,
352,low_income_community.validation.the_no_of_septic_tanks_must_be_an_integer,en,The No. of Septic Tanks must be an integer.,low_income_community,validation,any,f,,
353,low_income_community.validation.the_no_of_septic_tanks_must_be_at_least_0,en,The No. of Septic Tanks must be at least 0.,low_income_community,validation,any,f,,
354,low_income_community.validation.the_no_of_holding_tanks_must_be_an_integer,en,The No. of Holding Tanks must be an integer.,low_income_community,validation,any,f,,
355,low_income_community.validation.the_no_of_holding_tanks_must_be_at_least_0,en,The No. of Holding Tanks must be at least 0.,low_income_community,validation,any,f,,
356,low_income_community.validation.the_no_of_pits_must_be_an_integer,en,The No. of Pits must be an integer.,low_income_community,validation,any,f,,
357,low_income_community.validation.the_no_of_pits_must_be_at_least_0,en,The No. of Pits must be at least 0.,low_income_community,validation,any,f,,
358,low_income_community.validation.the_no_of_sewer_connection_must_be_an_integer,en,The No. of Sewer Connections must be an integer.,low_income_community,validation,any,f,,
359,low_income_community.validation.the_no_of_sewer_connection_must_be_at_least_0,en,The No. of Sewer Connections must be at least 0.,low_income_community,validation,any,f,,
360,low_income_community.validation.the_no_of_community_toilets_must_be_an_integer,en,The No. of Community Toilets must be an integer.,low_income_community,validation,any,f,,
361,low_income_community.validation.the_no_of_community_toilets_must_be_at_least_0,en,The No. of Community Toilets must be at least 0.,low_income_community,validation,any,f,,
362,low_income_community.validation.the_area_is_required,en,The Area is required.,low_income_community,validation,any,f,,
363,containments.validation.the_containment_type_required,en,The Containment Type required.,containments,validation,any,f,,
364,containments.validation.the_tank_depth_should_be_positive_value,en,The Tank depth should be positive value.,containments,validation,any,f,,
365,containments.validation.the_tank_length_should_be_positive_value,en,The Tank length should be positive value.,containments,validation,any,f,,
366,containments.validation.the_tank_width_should_be_positive_value,en,The Tank width should be positive value.,containments,validation,any,f,,
367,containments.validation.total_number_of_toilets_should_be_positive_value,en,Total Number of Toilets should be positive value.,containments,validation,any,f,,
368,containments.validation.the_pit_depth_should_be_positive_value,en,The Pit Depth should be positive value.,containments,validation,any,f,,
369,containments.validation.the_pit_diameter_count_should_be_positive_value,en,The Pit Diameter Count should be positive value.,containments,validation,any,f,,
370,emptying.heading.emptying,en,Emptying,emptying,heading,any,f,,
371,emptying.heading.emptying_details,en,Emptying Details,emptying,heading,any,f,,
372,emptying_operator.label.applicant's_contact,en,Applicant's Contact,emptying operator,label,mobile,f,,
373,emptying_operator.label.applicant's_gender,en,Applicant's Gender,emptying operator,label,mobile,f,,
374,containments.validation.sewer_code_required,en,Sewer Code required.,containments,validation,any,f,,
375,containments.validation.drain_code_required,en,Drain Code required.,containments,validation,any,f,,
376,employee_information.validation.the_name_may_only_contain_letters_and_spaces,en,The Name may only contain letters and spaces.,employee_information,validation,any,f,,
377,employee_information.validation.the_employee_name_is_required,en,The Employee Name is required.,employee_information,validation,any,f,,
378,employee_information.validation.the_employee_gender_is_required,en,The Employee Gender is required.,employee_information,validation,any,f,,
379,employee_information.validation.the_employee_contact_number_is_required,en,The Employee Contact Number is required.,employee_information,validation,any,f,,
380,employee_information.validation.the_employee_contact_number_must_be_an_integer,en,The Employee Contact Number must be an integer.,employee_information,validation,any,f,,
381,employee_information.validation.the_address_must_be_a_string,en,The Address must be a string.,employee_information,validation,any,f,,
